Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source
Afghanistan,126,82,"3,109,153",16,"594,982",28,"1,051,783",Very Low Confidence,4,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2151
Albania,127,83,"238,492",16,"45,058",28,"79,651",Very Low Confidence,8,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2160
Algeria,135,91,"3,918,529",16,"673,360",28,"1,190,335",Very Low Confidence,12,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2107
Andorra,123,84,"6,497",13,988,26,"1,971",Low Confidence,20,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2161
Angola,144,100,"3,169,523",16,"497,755",28,"879,908",Very Low Confidence,24,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2176
Antigua and Barbuda,113,74,"7,178",13,"1,244",26,"2,483",Low Confidence,28,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2046
Argentina,116,72,"3,243,563",16,"700,380",28,"1,238,100",Very Low Confidence,32,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2047
Armenia,137,93,"275,195",16,"46,259",28,"81,775",Very Low Confidence,51,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2227
Aruba,113,74,"7,858",13,"1,362",26,"2,718",Low Confidence,533,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2048
Australia,133,102,"2,563,110",9,"238,248",22,"546,340",High Confidence,36,Australia and New Zealand,https://www.unep.org/resources/report/unep-food-waste-index-report-2021
Austria,76,39,"349,249",9,"77,289",28,"254,191",High Confidence,40,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2245
Azerbaijan,137,93,"934,872",16,"157,148",28,"277,800",Very Low Confidence,31,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2228
Bahamas,113,74,"28,792",13,"4,990",26,"9,960",Low Confidence,44,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2049
Bahrain,171,132,"216,161",13,"21,026",26,"41,966",Low Confidence,48,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2229
Bangladesh,84,65,"10,618,233",16,"2,550,080",3,"544,436",Very Low Confidence,50,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2152
Barbados,113,74,"21,215",13,"3,677",26,"7,339",Low Confidence,52,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2050
Belarus,112,68,"646,356",16,"147,838",28,"261,341",Very Low Confidence,112,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2035
Belgium,80,50,"576,036",10,"112,100",20,"227,371",Medium Confidence,56,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2246
Belize,97,53,"20,564",16,"6,106",28,"10,794",Very Low Confidence,84,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2051
Benin,144,100,"1,175,297",16,"184,573",28,"326,280",Very Low Confidence,204,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2177
Bermuda,113,74,"4,606",13,801,26,"1,598",Low Confidence,60,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2114
Bhutan,123,79,"60,000",16,"11,935",28,"21,098",Very Low Confidence,64,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2153
Bolivia (Plurin. State of),124,80,"922,012",16,"180,068",28,"318,315",Very Low Confidence,68,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2052
Bosnia and Herzegovina,127,83,"273,269",16,"51,628",28,"91,266",Very Low Confidence,70,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2162
Botswana,136,92,"211,802",16,"36,030",28,"63,693",Very Low Confidence,72,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2178
Brazil,104,60,"12,578,308",16,"3,300,862",28,"5,835,112",Very Low Confidence,76,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2054
British Virgin Islands,113,74,"2,218",13,384,26,767,Low Confidence,92,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2055
Brunei Darussalam,119,80,"34,739",13,"5,551",26,"11,080",Low Confidence,96,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2140
Bulgaria,112,68,"478,667",16,"109,483",28,"193,539",Very Low Confidence,100,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2036
Burkina Faso,147,103,"2,086,893",16,"317,831",28,"561,848",Very Low Confidence,854,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2179
Burundi,147,103,"1,184,127",16,"180,341",28,"318,799",Very Low Confidence,108,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2180
Cabo Verde,144,100,"54,765",16,"8,601",28,"15,204",Very Low Confidence,132,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2181
Cambodia,130,86,"1,423,397",16,"257,853",28,"455,820",Very Low Confidence,116,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2141
Cameroon,144,100,"2,577,064",16,"404,713",28,"715,433",Very Low Confidence,120,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2182
Canada,118,79,"2,938,321",13,"479,284",26,"956,615",Low Confidence,124,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2115
Cayman Islands,113,74,"4,797",13,831,26,"1,660",Low Confidence,136,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2056
Central African Republic,147,103,"487,305",16,"74,216",28,"131,196",Very Low Confidence,140,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2183
Chad,147,103,"1,637,656",16,"249,413",28,"440,901",Very Low Confidence,148,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2184
Chile,113,74,"1,400,946",13,"242,800",26,"484,611",Low Confidence,152,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2057
China,126,64,"91,646,213",16,"22,424,705",46,"65,377,741",Very Low Confidence,156,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2028
"China, Hong Kong SAR",110,71,"530,985",13,"95,267",26,"190,147",Low Confidence,344,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2029
"China, Macao SAR",110,71,"45,728",13,"8,204",26,"16,375",Low Confidence,446,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2030
Colombia,114,70,"3,545,499",16,"787,320",28,"1,391,787",Very Low Confidence,170,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2058
Comoros,144,100,"84,742",16,"13,308",28,"23,526",Very Low Confidence,174,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2185
Congo,144,100,"535,851",16,"84,152",28,"148,760",Very Low Confidence,178,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2186
Costa Rica,116,72,"365,609",16,"78,946",28,"139,556",Very Low Confidence,188,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2059
Côte d’Ivoire,144,100,"2,561,140",16,"402,212",28,"711,012",Very Low Confidence,384,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2187
Croatia,123,84,"348,070",13,"52,915",26,"105,613",Low Confidence,191,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2163
Cuba,116,72,"820,910",16,"177,259",28,"313,349",Very Low Confidence,192,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2060
Curaçao,113,74,"12,079",13,"2,093",26,"4,178",Low Confidence,531,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2061
Cyprus,134,95,"113,306",13,"15,356",26,"30,649",Low Confidence,196,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2230
Czechia,109,70,"746,840",13,"136,943",26,"273,327",Low Confidence,203,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2037
Dem. People's Rep. Korea,125,81,"2,070,528",16,"401,425",28,"709,621",Very Low Confidence,408,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2031
Dem. Rep. of the Congo,147,103,"8,912,903",16,"1,357,425",28,"2,399,593",Very Low Confidence,180,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2188
Denmark,132,81,"469,449",30,"172,003",21,"119,134",High Confidence,208,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2119
Djibouti,144,100,"96,962",16,"15,227",28,"26,918",Very Low Confidence,262,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2189
Dominica,116,72,"5,201",16,"1,123",28,"1,985",Very Low Confidence,212,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2062
Dominican Republic,116,72,"777,849",16,"167,960",28,"296,913",Very Low Confidence,214,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2063
Ecuador,116,72,"1,258,415",16,"271,729",28,"480,349",Very Low Confidence,218,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2064
Egypt,135,91,"9,136,941",16,"1,570,093",28,"2,775,538",Very Low Confidence,818,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2108
El Salvador,124,80,"516,828",16,"100,936",28,"178,430",Very Low Confidence,222,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2065
Equatorial Guinea,136,92,"124,670",16,"21,208",28,"37,491",Very Low Confidence,226,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2190
Eritrea,147,103,"359,132",16,"54,695",28,"96,688",Very Low Confidence,232,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2191
Estonia,100,78,"102,743",5,"6,243",17,"22,013",Medium Confidence,233,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2120
Eswatini,144,100,"114,341",16,"17,957",28,"31,743",Very Low Confidence,748,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2192
Ethiopia,136,92,"10,327,236",16,"1,752,936",28,"3,098,760",Very Low Confidence,231,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2193
Faroe Islands,115,76,"3,710",13,624,26,"1,245",Low Confidence,234,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2121
Fiji,120,76,"67,385",16,"13,920",28,"24,607",Very Low Confidence,242,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2095
Finland,101,65,"361,937",13,"70,875",23,"128,927",Low Confidence,246,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2122
France,135,85,"5,522,358",26,"1,667,568",24,"1,594,579",Medium Confidence,250,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2247
French Polynesia,118,79,"21,978",13,"3,578",26,"7,142",Low Confidence,258,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2133
Gabon,136,92,"199,748",16,"33,980",28,"60,068",Very Low Confidence,266,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2194
Gambia,147,103,"241,095",16,"36,719",28,"64,909",Very Low Confidence,270,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2195
Georgia,145,101,"403,573",16,"62,511",28,"110,504",Very Low Confidence,268,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2231
Germany,102,75,"6,263,775",6,"498,244",21,"1,718,433",High Confidence,276,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2248
Ghana,128,84,"2,555,332",16,"475,743",28,"840,996",Very Low Confidence,288,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2196
Gibraltar,123,84,"2,840",13,432,26,862,Low Confidence,292,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2164
Greece,175,142,"1,483,996",7,"77,332",26,"267,812",Medium Confidence,300,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2165
Greenland,113,74,"4,178",13,726,26,"1,450",Low Confidence,304,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2116
Grenada,116,72,"8,112",16,"1,752",28,"3,097",Very Low Confidence,308,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2068
Guam,118,79,"13,165",13,"2,143",26,"4,278",Low Confidence,316,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2100
Guatemala,116,72,"1,273,466",16,"274,979",28,"486,095",Very Low Confidence,320,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2070
Guinea,147,103,"1,311,530",16,"199,744",28,"353,099",Very Low Confidence,324,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2197
Guinea-Bissau,147,103,"197,266",16,"30,043",28,"53,109",Very Low Confidence,624,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2198
Guyana,116,72,"56,700",16,"12,243",28,"21,643",Very Low Confidence,328,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2071
Haiti,127,83,"936,940",16,"176,157",28,"311,403",Very Low Confidence,332,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2072
Honduras,124,80,"780,504",16,"152,431",28,"269,461",Very Low Confidence,340,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2073
Hungary,133,94,"908,669",13,"124,074",26,"247,642",Low Confidence,348,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2038
Iceland,115,76,"25,827",13,"4,343",26,"8,668",Low Confidence,352,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2123
India,94,50,"68,760,163",16,"21,371,087",28,"37,778,821",Very Low Confidence,356,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2154
Indonesia,121,77,"20,938,252",16,"4,232,646",28,"7,482,277",Very Low Confidence,360,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2142
Iran (Islamic Republic of),115,71,"5,884,842",16,"1,296,792",28,"2,292,410",Very Low Confidence,364,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2155
Iraq,164,120,"4,734,434",16,"614,814",28,"1,086,840",Very Low Confidence,368,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2232
Ireland,124,55,"267,073",13,"62,551",56,"274,135",Low Confidence,372,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2124
Isle of Man,115,76,"6,445",13,"1,084",26,"2,163",Low Confidence,833,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2125
Israel,178,100,"848,395",51,"437,997",27,"233,752",Medium Confidence,376,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2233
Italy,97,67,"4,059,806",4,"219,552",26,"1,548,291",High Confidence,380,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2167
Jamaica,116,72,"213,552",16,"46,112",28,"81,515",Very Low Confidence,388,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2074
Japan,88,64,"8,159,891",9,"1,095,308",15,"1,870,735",Medium Confidence,392,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2032
Jordan,137,93,"939,897",16,"157,993",28,"279,293",Very Low Confidence,400,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2234
Kazakhstan,120,76,"1,404,584",16,"290,148",28,"512,910",Very Low Confidence,398,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2023
Kenya,141,99,"5,217,367",11,"576,411",31,"1,637,020",Medium Confidence,404,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2199
Kiribati,135,91,"10,704",16,"1,839",28,"3,251",Very Low Confidence,296,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2101
Kuwait,134,95,"397,706",13,"53,898",26,"107,577",Low Confidence,414,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2235
Kyrgyzstan,135,91,"583,951",16,"100,346",28,"177,387",Very Low Confidence,417,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2024
